P,m,T,X1,X2,X3
8,16768,0.004873907,6,29344,14672
8,16896,0.004909823,6,29568,14784
8,17024,0.004945737,6,29792,14896
8,17152,0.004981653,6,30016,15008
8,17280,0.005017569,6,30240,15120
8,17408,0.005053484,6,30464,15232
8,17536,0.005089399,6,30688,15344
8,17664,0.005125315,6,30912,15456
8,17792,0.005161228,6,31136,15568
8,17920,0.005197144,6,31360,15680
8,18048,0.005233061,6,31584,15792
8,18176,0.005268976,6,31808,15904
8,18304,0.005304888,6,32032,16016
8,18432,0.005340804,6,32256,16128
8,18560,0.005376722,6,32480,16240
8,18688,0.005412635,6,32704,16352
8,18816,0.005448554,6,32928,16464
8,18944,0.005484466,6,33152,16576
8,19072,0.005520379,6,33376,16688
8,19200,0.005556292,6,33600,16800
8,19328,0.005592208,6,33824,16912
8,19456,0.005628140,6,34048,17024
8,19584,0.005664045,6,34272,17136
8,19712,0.005699958,6,34496,17248
8,19840,0.005735875,6,34720,17360
8,19968,0.005771791,6,34944,17472
8,20096,0.005807706,6,35168,17584
8,20224,0.005843622,6,35392,17696
8,20352,0.005879534,6,35616,17808
8,20480,0.005915453,6,35840,17920
8,20608,0.005951364,6,36064,18032
8,20736,0.005987281,6,36288,18144
8,20864,0.006023194,6,36512,18256
16,8192,0.002843943,8,15360,7680
16,8320,0.002886598,8,15600,7800
16,8448,0.002929283,8,15840,7920
16,8576,0.002971967,8,16080,8040
16,8704,0.003014652,8,16320,8160
16,8832,0.003057332,8,16560,8280
16,8960,0.003100018,8,16800,8400
16,9088,0.003142701,8,17040,8520
16,9216,0.003185386,8,17280,8640
16,9344,0.003228068,8,17520,8760
16,9472,0.003517792,8,17760,8880
16,9600,0.003563764,8,18000,9000
16,9728,0.003609735,8,18240,9120
16,9856,0.003655709,8,18480,9240
16,9984,0.003701683,8,18720,9360
16,10112,0.003747662,8,18960,9480
16,10240,0.003793627,8,19200,9600
16,10368,0.003839600,8,19440,9720
16,10496,0.003885572,8,19680,9840
16,10624,0.003931545,8,19920,9960
16,10752,0.003977520,8,20160,10080
16,10880,0.004023492,8,20400,10200
16,11008,0.004069464,8,20640,10320
16,11136,0.004115435,8,20880,10440
16,11264,0.004161408,8,21120,10560
16,11392,0.004207384,8,21360,10680
16,11520,0.004253355,8,21600,10800
16,11648,0.004230727,8,21840,10920
16,11776,0.004275922,8,22080,11040
16,11904,0.004321117,8,22320,11160
16,12032,0.004366310,8,22560,11280
16,12160,0.004411504,8,22800,11400
16,12288,0.004456697,8,23040,11520
16,12416,0.004501891,8,23280,11640
16,12544,0.004547089,8,23520,11760
16,12672,0.004592282,8,23760,11880
16,12800,0.004637474,8,24000,12000
16,12928,0.004682668,8,24240,12120
16,13056,0.004727861,8,24480,12240
16,13184,0.004773057,8,24720,12360
16,13312,0.004818251,8,24960,12480
16,13440,0.004863444,8,25200,12600
16,13568,0.004908637,8,25440,12720
16,13696,0.004953831,8,25680,12840
16,13824,0.004999033,8,25920,12960
16,13952,0.005044223,8,26160,13080
16,14080,0.005089416,8,26400,13200
16,14208,0.005134608,8,26640,13320
16,14336,0.005179801,8,26880,13440
16,14464,0.005224995,8,27120,13560
16,14592,0.005270189,8,27360,13680
16,14720,0.005315383,8,27600,13800
16,14848,0.005360579,8,27840,13920
16,14976,0.005405772,8,28080,14040
16,15104,0.005450968,8,28320,14160
16,15232,0.005496160,8,28560,14280
16,15360,0.005541357,8,28800,14400
16,15488,0.005456459,8,29040,14520
16,15616,0.005500520,8,29280,14640
16,15744,0.005544581,8,29520,14760
16,15872,0.005588643,8,29760,14880
16,16000,0.005632703,8,30000,15000
16,16128,0.005676763,8,30240,15120
16,16256,0.005720826,8,30480,15240
16,16384,0.005034443,8,30720,15360
16,16512,0.005072289,8,30960,15480
16,16640,0.005110135,8,31200,15600
16,16768,0.005147982,8,31440,15720
16,16896,0.005185830,8,31680,15840
16,17024,0.005223675,8,31920,15960
16,17152,0.005261522,8,32160,16080
16,17280,0.005299368,8,32400,16200
16,17408,0.005337215,8,32640,16320
16,17536,0.005375061,8,32880,16440
16,17664,0.005412908,8,33120,16560
16,17792,0.005450755,8,33360,16680
16,17920,0.005488602,8,33600,16800
16,18048,0.005526448,8,33840,16920
16,18176,0.005564295,8,34080,17040
16,18304,0.005602141,8,34320,17160
16,18432,0.005639991,8,34560,17280
16,18560,0.005677842,8,34800,17400
16,18688,0.005715687,8,35040,17520
16,18816,0.005998923,8,35280,17640
16,18944,0.006038422,8,35520,17760
16,19072,0.006077911,8,35760,17880
16,19200,0.006117411,8,36000,18000
16,19328,0.006156890,8,36240,18120
16,19456,0.006196385,8,36480,18240
16,19584,0.006235871,8,36720,18360
16,19712,0.006275362,8,36960,18480
16,19840,0.006314853,8,37200,18600
16,19968,0.006354344,8,37440,18720
16,20096,0.006393836,8,37680,18840
16,20224,0.006433330,8,37920,18960
16,20352,0.006472818,8,38160,19080
16,20480,0.006512309,8,38400,19200
16,20608,0.006551799,8,38640,19320
16,20736,0.006591291,8,38880,19440
16,20864,0.006630783,8,39120,19560
32,8192,0.002974613,10,15872,7936
32,8320,0.003019014,10,16120,8060
32,8448,0.003063423,10,16368,8184
32,8576,0.003107831,10,16616,8308
32,8704,0.003152241,10,16864,8432
32,8832,0.003196648,10,17112,8556
32,8960,0.003241059,10,17360,8680
32,9088,0.003285464,10,17608,8804
32,9216,0.003329875,10,17856,8928
32,9344,0.003374281,10,18104,9052
32,9472,0.003665732,10,18352,9176
32,9600,0.003713425,10,18600,9300
32,9728,0.003761125,10,18848,9424
32,9856,0.003808819,10,19096,9548
32,9984,0.003856517,10,19344,9672
32,10112,0.003904218,10,19592,9796
32,10240,0.003951911,10,19840,9920
32,10368,0.003999608,10,20088,10044
32,10496,0.004047307,10,20336,10168
32,10624,0.004095002,10,20584,10292
32,10752,0.004142702,10,20832,10416
32,10880,0.004190399,10,21080,10540
32,11008,0.004238095,10,21328,10664
32,11136,0.004285794,10,21576,10788
32,11264,0.004333491,10,21824,10912
32,11392,0.004381193,10,22072,11036
32,11520,0.004428882,10,22320,11160
32,11648,0.004407980,10,22568,11284
32,11776,0.004454898,10,22816,11408
32,11904,0.004501818,10,23064,11532
32,12032,0.004548735,10,23312,11656
32,12160,0.004595654,10,23560,11780
32,12288,0.004642572,10,23808,11904
