P,m,T,X1,X2,X3
8,14080,0.005803098,14,24640,12320
8,14208,0.005853158,14,24864,12432
8,14336,0.005903219,14,25088,12544
8,14464,0.005953279,14,25312,12656
8,14592,0.006003340,14,25536,12768
8,14720,0.006053400,14,25760,12880
8,14848,0.006103461,14,25984,12992
8,14976,0.006153521,14,26208,13104
8,15104,0.006203582,14,26432,13216
8,15232,0.006253642,14,26656,13328
8,15360,0.006303702,14,26880,13440
8,15488,0.005482966,14,27104,13552
8,15616,0.005525095,14,27328,13664
8,15744,0.005567224,14,27552,13776
8,15872,0.005609353,14,27776,13888
8,16000,0.005651480,14,28000,14000
8,16128,0.005693606,14,28224,14112
8,16256,0.005735743,14,28448,14224
8,16384,0.005777867,14,28672,14336
8,16512,0.005819986,14,28896,14448
8,16640,0.005862122,14,29120,14560
8,16768,0.005904251,14,29344,14672
8,16896,0.005946379,14,29568,14784
8,17024,0.005988508,14,29792,14896
8,17152,0.006030636,14,30016,15008
8,17280,0.006072765,14,30240,15120
8,17408,0.006114893,14,30464,15232
8,17536,0.006157022,14,30688,15344
8,17664,0.006199150,14,30912,15456
8,17792,0.006241278,14,31136,15568
8,17920,0.006283407,14,31360,15680
8,18048,0.006325536,14,31584,15792
8,18176,0.006367660,14,31808,15904
8,18304,0.006409793,14,32032,16016
8,18432,0.006451921,14,32256,16128
8,18560,0.006494049,14,32480,16240
8,18688,0.006536178,14,32704,16352
8,18816,0.006578303,14,32928,16464
8,18944,0.006620434,14,33152,16576
8,19072,0.006662563,14,33376,16688
8,19200,0.006704691,14,33600,16800
8,19328,0.006746820,14,33824,16912
8,19456,0.006788948,14,34048,17024
8,19584,0.006831076,14,34272,17136
8,19712,0.006873207,14,34496,17248
8,19840,0.006915334,14,34720,17360
8,19968,0.006957464,14,34944,17472
8,20096,0.006999591,14,35168,17584
8,20224,0.007041720,14,35392,17696
8,20352,0.007083847,14,35616,17808
8,20480,0.007125977,14,35840,17920
8,20608,0.007168110,14,36064,18032
8,20736,0.007210232,14,36288,18144
8,20864,0.007252363,14,36512,18256
16,8192,0.002973382,30,15360,7680
16,8320,0.003014294,30,15600,7800
16,8448,0.003054680,30,15840,7920
16,8576,0.003095661,30,16080,8040
16,8704,0.003136309,30,16320,8160
16,8832,0.003176889,30,16560,8280
16,8960,0.003217870,30,16800,8400
16,9088,0.003258187,30,17040,8520
16,9216,0.003298573,30,17280,8640
16,9344,0.003339554,30,17520,8760
16,9472,0.003380465,30,17760,8880
16,9600,0.003420519,30,18000,9000
16,9728,0.003461431,30,18240,9120
16,9856,0.003502080,30,18480,9240
16,9984,0.003542729,30,18720,9360
16,10112,0.003583378,30,18960,9480
16,10240,0.003623763,30,19200,9600
16,10368,0.003664744,30,19440,9720
16,10496,0.003705061,30,19680,9840
16,10624,0.003745710,30,19920,9960
16,10752,0.003786954,30,20160,10080
16,10880,0.003827008,30,20400,10200
16,11008,0.003867989,30,20640,10320
16,11136,0.003908568,30,20880,10440
16,11264,0.003949286,30,21120,10560
16,11392,0.003989866,30,21360,10680
16,11520,0.004030515,30,21600,10800
16,11648,0.003059011,30,21840,10920
16,11776,0.003087979,30,22080,11040
16,11904,0.003117140,30,22320,11160
16,12032,0.003146109,30,22560,11280
16,12160,0.003174884,30,22800,11400
16,12288,0.003204046,30,23040,11520
16,12416,0.003233013,30,23280,11640
16,12544,0.003261790,30,23520,11760
16,12672,0.003290951,30,23760,11880
16,12800,0.003319535,30,24000,12000
16,12928,0.003348888,30,24240,12120
16,13056,0.003377472,30,24480,12240
16,13184,0.003406632,30,24720,12360
16,13312,0.003435408,30,24960,12480
16,13440,0.003464762,30,25200,12600
16,13568,0.003493730,30,25440,12720
16,13696,0.003522314,30,25680,12840
16,13824,0.003551667,30,25920,12960
16,13952,0.003580058,30,26160,13080
16,14080,0.003609026,30,26400,13200
16,14208,0.003638573,30,26640,13320
16,14336,0.003667541,30,26880,13440
16,14464,0.003696124,30,27120,13560
16,14592,0.003725478,30,27360,13680
16,14720,0.003753869,30,27600,13800
16,14848,0.003782837,30,27840,13920
16,14976,0.003812383,30,28080,14040
16,15104,0.003840967,30,28320,14160
16,15232,0.003870320,30,28560,14280
16,15360,0.003899096,30,28800,14400
16,15488,0.003927679,30,29040,14520
16,15616,0.003957033,30,29280,14640
16,15744,0.003985809,30,29520,14760
16,15872,0.004015162,30,29760,14880
16,16000,0.004043744,30,30000,15000
16,16128,0.004073099,30,30240,15120
16,16256,0.004101875,30,30480,15240
16,16384,0.004130651,30,30720,15360
16,16512,0.004160005,30,30960,15480
16,16640,0.004188780,30,31200,15600
16,16768,0.004217751,30,31440,15720
16,16896,0.004246332,30,31680,15840
16,17024,0.004275878,30,31920,15960
16,17152,0.004304654,30,32160,16080
16,17280,0.004333815,30,32400,16200
16,17408,0.004362591,30,32640,16320
16,17536,0.004391752,30,32880,16440
16,17664,0.004420720,30,33120,16560
16,17792,0.004449497,30,33360,16680
16,17920,0.004478465,30,33600,16800
16,18048,0.004507626,30,33840,16920
16,18176,0.004536402,30,34080,17040
16,18304,0.004565178,30,34320,17160
16,18432,0.004594531,30,34560,17280
16,18560,0.004623500,30,34800,17400
16,18688,0.004652468,30,35040,17520
16,18816,0.008383861,30,35280,17640
16,18944,0.008438053,30,35520,17760
16,19072,0.008491689,30,35760,17880
16,19200,0.008545325,30,36000,18000
16,19328,0.008598507,30,36240,18120
16,19456,0.008652598,30,36480,18240
16,19584,0.008706234,30,36720,18360
16,19712,0.008759314,30,36960,18480
16,19840,0.008813506,30,37200,18600
16,19968,0.008867143,30,37440,18720
16,20096,0.008920779,30,37680,18840
16,20224,0.008973960,30,37920,18960
16,20352,0.009028051,30,38160,19080
16,20480,0.009081687,30,38400,19200
16,20608,0.009135223,30,38640,19320
16,20736,0.009188859,30,38880,19440
16,20864,0.009242496,30,39120,19560
32,8192,0.005518674,62,15872,7936
32,8320,0.005598083,62,16120,8060
32,8448,0.005677633,62,16368,8184
32,8576,0.005757027,62,16616,8308
32,8704,0.005836565,62,16864,8432
32,8832,0.005916062,62,17112,8556
32,8960,0.005995028,62,17360,8680
32,9088,0.006074169,62,17608,8804
32,9216,0.006153619,62,17856,8928
32,9344,0.006232821,62,18104,9052
32,9472,0.006312144,62,18352,9176
32,9600,0.006391735,62,18600,9300
32,9728,0.006471012,62,18848,9424
32,9856,0.006550558,62,19096,9548
32,9984,0.006629780,62,19344,9672
32,10112,0.006709078,62,19592,9796
32,10240,0.006788481,62,19840,9920
32,10368,0.006867903,62,20088,10044
32,10496,0.006947204,62,20336,10168
32,10624,0.007026635,62,20584,10292
32,10752,0.007106020,62,20832,10416
32,10880,0.007185034,62,21080,10540
32,11008,0.007264136,62,21328,10664
32,11136,0.007343268,62,21576,10788
32,11264,0.007422423,62,21824,10912
32,11392,0.007501665,62,22072,11036
32,11520,0.007580985,62,22320,11160
32,11648,0.007660318,62,22568,11284
32,11776,0.007739878,62,22816,11408
32,11904,0.007819464,62,23064,11532
32,12032,0.007899088,62,23312,11656
32,12160,0.007978590,62,23560,11780
32,12288,0.008058086,62,23808,11904
32,12416,0.008137599,62,24056,12028
32,12544,0.008217220,62,24304,12152
32,12672,0.008296877,62,24552,12276
32,12800,0.008376515,62,24800,12400
32,12928,0.008456156,62,25048,12524
32,13056,0.008535788,62,25296,12648
32,13184,0.008615376,62,25544,12772
32,13312,0.008694915,62,25792,12896
32,13440,0.008774458,62,26040,13020
32,13568,0.008853995,62,26288,13144
32,13696,0.008933620,62,26536,13268
32,13824,0.009013231,62,26784,13392
32,13952,0.007289385,62,27032,13516
32,14080,0.007351720,62,27280,13640
32,14208,0.007414110,62,27528,13764
32,14336,0.007476562,62,27776,13888
32,14464,0.007538968,62,28024,14012
32,14592,0.007601350,62,28272,14136
32,14720,0.007663719,62,28520,14260
32,14848,0.007726081,62,28768,14384
32,14976,0.007788307,62,29016,14508
32,15104,0.007850537,62,29264,14632
32,15232,0.007912959,62,29512,14756
32,15360,0.007975372,62,29760,14880
32,15488,0.008037795,62,30008,15004
32,15616,0.008100211,62,30256,15128
32,15744,0.008162647,62,30504,15252
32,15872,0.008225021,62,30752,15376
32,16000,0.008287260,62,31000,15500
32,16128,0.008349305,62,31248,15624
32,16256,0.008411435,62,31496,15748
32,16384,0.008473594,62,31744,15872
32,16512,0.008535926,62,31992,15996
32,16640,0.008598400,62,32240,16120
32,16768,0.008660838,62,32488,16244
32,16896,0.008723299,62,32736,16368
32,17024,0.008785789,62,32984,16492
32,17152,0.008848286,62,33232,16616
32,17280,0.008910791,62,33480,16740
32,17408,0.008973298,62,33728,16864
